what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1541445769912
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1541445769912
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1541445769935
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1541445769935
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1541445769935
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1541445769935
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1541445769959
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1541445769959
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1541445769959
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1541445769982
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1541445769982
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1541445769982
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1541445770006
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1541445770006
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1541445770006
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1541445770006
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1541445770006
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1541445770006
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1541445770029
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1541445770029
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1541445770029
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1541445770053
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1541445770053
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1541445770076
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1541445770076
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1541445770076
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1541445770076
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1541445770076
started,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1541445770076
os,sysinfo,,,"win32",1541445770100
arch,sysinfo,,,"x86_64",1541445770100
ws,sysinfo,,,"win32",1541445770100
locale,sysinfo,,,"en_US",1541445770100
processors,sysinfo,,,"2",1541445770100
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1541445770100
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1541445770100
java.specification.name,sysinfo,,,"Java Platform API Specification",1541445770100
java.specification.vendor,sysinfo,,,"Oracle Corporation",1541445770100
java.specification.version,sysinfo,,,"1.7",1541445770100
java.vendor,sysinfo,,,"Oracle Corporation",1541445770100
java.version,sysinfo,,,"1.7.0_13",1541445770100
java.vm.info,sysinfo,,,"mixed mode",1541445770100
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1541445770100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1541445770100
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1541445770100
java.vm.specification.version,sysinfo,,,"1.7",1541445770100
java.vm.vendor,sysinfo,,,"Oracle Corporation",1541445770100
java.vm.version,sysinfo,,,"23.7-b01",1541445770100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541445781467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1541445781514
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1541445781537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445788076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445790607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445791685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445791685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445791896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445793959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445806381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445808701
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541445808889
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1541445810225
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1541445810271
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1541445811092
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1541445811092
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1541445811185
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1541445811209
